OFFENSE,VIOLENT
IMPROPERLY DISCHARGING FIREARM AT/INTO HABITATION/SCHOOL-OCCUPIED STRUCTURE,1
INDUCING PANIC,0
INSURANCE FRAUD,0
INTER W/ CUSTODY-<18,0
 MENTALLY HANDICAPPED <21,0
INTERFERENCE WITH CUSTODY,0
INTIMID-VICTIM/WITNESS FORCE/THREAT,0
INTIMIDATION,0
INTIMIDATION-PUBLIC SERV/PARTY OFF,0
INTIMIDATION-VICTIM/WITNESS,0
INVOLUNTARY MANSLAUGHTER,1
KIDNAPPING,1
MAKING FALSE ALARMS,0
MAKING FALSE ALARMS-INITIATE REPORT/WARNING,0
MENACING,0
MENACING BY STALKING,0
MISUSE OF CREDIT CARD,0
MURDER,1
NEGLIGENT ASSAULT,1
NEGLIGENT HOMICIDE,1
OBSTRUCTING OFFICIAL BUSINESS,0
PARENTAL EDUCATION NEGLECT,0
PASSING BAD CHECKS,0
PATIENT ABUSE; NEGLECT,0
PATIENT ABUSE; NEGLECT - ABUSE,0
PERSONATING AN OFFICER,0
POSS/SELL UNAUTHOR CABLE TELEV SERV-POSSESS,0
POSSESSING CRIMINAL TOOLS,0
PUBLIC INDECENCY,0
PUBLIC INDECENCY - APPEAR TO BE SEX ACT,0
PUBLIC INDECENCY - EXPOSURE,0
RECEIVING STOLEN PROPERTY,0
RECKLESS HOMICIDE,1
RESISTING ARREST,0
RETALIATION,0
ROBBERY,0
ROBBERY - DANGEROUS WEAPON,1
 ORDNANCE,0
ROBBERY - USE/THREATEN IMMED USE OF FORCE,1
ROBBERY-INFLICT/ATTEMPT/THREAT SER PHYS HARM,1
RUNAWAY,0
SAFECRACKING,0
SEX BAT - VIC MINOR,0
 OFF TMP/OCC DISCIP CONTR,0
SEXUAL BATTERY,1
SEXUAL BATTERY - MISTAKE FOR SPOUSE,1
SEXUAL BATTERY - PARENT OR GUARDIAN,1
SEXUAL BATTERY - SCHOOL PERSON OF AUTHORITY,1
SEXUAL BATTERY - VICTIM COERCED,1
SEXUAL IMPOSITION,1
SEXUAL IMPOSITION - OFFENSIVE CONTACT,1
SEXUAL IMPOSITION - VICTIM 13,1
14,0
15,0
SEXUAL IMPOSITION - VICTIM IMPAIRED,1
TAKING THE IDENTITY OF ANOTHER,0
